date,time,competition,home,away,home_back,home_lay,draw_back,draw_lay,away_back,away_lay,over25_back,over25_lay,score01_back,score01_lay
29-03-2026,17:00,Copa Do Nordeste,Confiança,Fluminense-PI,1.38,1.45,4.2,4.8,11,14.5,2.18,2.9,6,34
29-03-2026,18:30,Copa Do Nordeste,Botafogo-PB,ASA-AL,1.94,2.02,3.15,3.2,5.3,5.8,2.6,2.84,12,14
29-03-2026,16:00,Copa Verde,Capital-DF,Rio Branco AC,2.02,2.18,3.1,3.45,4.3,4.9,2.24,2.44,10.5,14
29-03-2026,17:00,Copa Verde,Primavera MT,Araguaina,1.75,2.16,2.7,3.8,3.65,6,2.1,2.52,1.01,N/A
29-03-2026,17:00,Copa Verde,Remo,Monte Roraima FC,1.18,1.21,7,8.8,22,36,1.76,1.9,48,1000
29-03-2026,18:00,Copa Verde,Independência-AC,Nacional AM,8.4,16,4.9,7,1.28,1.36,1.6,1.79,3.5,10.5
29-03-2026,19:31,Brasileirão Série A,Athletico-PR,Botafogo,2.12,2.14,3.35,3.45,4.1,4.3,2.28,2.34,12,13
29-03-2026,vivo,La Liga Segunda Divisão,Eibar,Las Palmas,2.7,2.84,2.7,2.94,3.35,3.6,1.18,1.22,2.14,N/A
29-03-2026,11:15,La Liga Segunda Divisão,Leonesa,Andorra,2.56,2.6,3.35,3.4,3.15,3.25,2.28,2.34,10,10.5
29-03-2026,13:30,La Liga Segunda Divisão,Zaragoza,Racing Santander,2.76,2.8,3.45,3.5,2.84,2.86,2.08,2.1,10.5,11.5
29-03-2026,16:00,La Liga Segunda Divisão,Almería,Sociedad B,1.56,1.58,4.7,4.9,6.4,6.6,1.62,1.64,24,29
29-03-2026,vivo,Indonésia Campeonato,PSIS Semarang,Persipal FC,1.13,1.14,8.8,12,17,110,1.15,1.22,2.6,N/A
29-03-2026,vivo,Indonésia Campeonato,Tornado FC,Pss Sleman,2.7,2.72,2.9,3.05,3.25,3.45,3.5,3.75,7,8.4
29-03-2026,vivo,Serie C Italiana,Benevento,Cosenza,6.4,9,1.18,1.23,18.5,55,5.5,6.4,11,N/A
29-03-2026,Começa em 3’,Serie C Italiana,Vicenza Virtus,Union Brescia,1.96,2,3.4,3.55,4.8,5.2,2.56,2.64,12,13.5
29-03-2026,Começa em 3’,Serie C Italiana,Crotone,Audace Cerignola,1.85,1.89,3.25,3.35,5.8,6.6,2.16,2.22,16.5,23
29-03-2026,Começa em 3’,Serie C Italiana,Foggia,Trapani,2.3,2.36,3.3,3.45,3.6,3.75,2.2,2.3,10.5,12.5
29-03-2026,Começa em 3’,Serie C Italiana,Team Altamura,Siracusa,3.45,3.55,3.2,3.35,2.38,2.46,2.4,2.52,7.8,8.4
29-03-2026,Começa em 3’,Serie C Italiana,Pontedera,AC Bra,1.76,1.78,3.8,3.9,5.6,6,2.1,2.18,15.5,18
29-03-2026,12:30,Serie C Italiana,Cittadella,Lecco,2.18,2.3,3.2,3.5,3.75,4.1,2.2,2.32,11,13.5
29-03-2026,12:30,Serie C Italiana,S.S.D. Casarano Calcio,Giugliano,2.22,2.36,3.65,3.7,3.3,3.6,1.74,1.84,8,17.5
29-03-2026,12:30,Serie C Italiana,Nuovo Campobasso,FC Guidonia Montecelio 1937,2.02,2.12,3.4,3.5,4.3,4.5,2.5,2.66,5.1,970
29-03-2026,12:30,Serie C Italiana,Forli,Pianese,2.22,2.36,3.15,3.45,3.7,4.2,2.3,2.46,6.2,970
29-03-2026,vivo,Grécia Superliga 2,Egaleo,Ellas Syros,2.34,2.48,2.9,3.05,3.85,4.2,3.45,3.7,3.9,11
29-03-2026,vivo,Grécia Superliga 2,Ilioupoli,Kallithea,5.5,5.9,2.88,3,2.04,2.1,4.4,4.9,4.2,4.9
29-03-2026,vivo,Grécia Superliga 2,PAE Chania,Panargiakos,1.66,1.73,3.4,3.75,7.2,8.4,3.2,3.55,2.78,16
