date,time,competition,home,away,home_back,home_lay,draw_back,draw_lay,away_back,away_lay,over25_back,over25_lay,score01_back,score01_lay
31-03-2026,15:45,Europa Eliminatórias Da Copa,Suécia,Polônia,2.16,2.18,3.5,3.55,3.9,3.95,2.1,2.14,12.5,13.5
31-03-2026,15:45,Europa Eliminatórias Da Copa,Bósnia,Itália,8.4,8.6,4.5,4.6,1.51,1.52,2.04,2.08,7,7.4
31-03-2026,15:45,Europa Eliminatórias Da Copa,República Checa,Dinamarca,4,4.2,3.45,3.5,2.12,2.14,2.14,2.18,8.2,8.8
31-03-2026,15:45,Europa Eliminatórias Da Copa,Kosovo,Turquia,4,4.1,3.6,3.65,2.08,2.1,2.1,2.12,8.6,9
31-03-2026,18:00,Copa Do Mundo Fifa Qualificatórias,RD Congo,Jamaica,1.9,1.91,3.4,3.45,5.5,5.7,2.8,2.9,12,13.5
31-03-2026,18:30,Brasileirão Série B,Juventude,Novorizontino,2.1,2.14,3.35,3.4,4.2,4.5,2.44,2.5,10.5,12.5
31-03-2026,19:00,Brasileirão Série B,Fortaleza,Cuiabá,1.71,1.74,3.7,3.75,6.2,6.8,2.46,2.56,14,16
31-03-2026,14:00,La Liga Segunda Divisão,Mirandes,Albacete,2.56,2.6,3.45,3.5,3.05,3.1,2.08,2.14,10.5,11.5
31-03-2026,15:00,La Liga Segunda Divisão,Deportivo,Córdoba,1.97,1.99,3.75,3.8,4.3,4.4,1.93,1.96,14.5,16.5
31-03-2026,16:30,La Liga Segunda Divisão,Valladolid,Cádiz,1.59,1.6,4.3,4.5,6.6,7,1.95,1.97,18.5,20
31-03-2026,18:30,Paraguai Primera Division,Club 2 de Mayo,Nacional-PAR,3.75,4.1,3.05,3.25,2.3,2.4,2.62,2.8,6.4,7.6
31-03-2026,20:30,Paraguai Primera Division,Sportivo Luqueño,Cerro Porteño,4.8,5.4,3.55,3.8,1.85,1.9,2.28,2.42,6.4,7.8
31-03-2026,vivo,Copa Asiática Da Afc Classificatórias,Republic of Maldives,Timor-Leste,2.92,3.3,1.91,2.08,5.5,6.6,22,25,6.8,8
31-03-2026,vivo,Copa Asiática Da Afc Classificatórias,Taipei Chinesa,Sri Lanka,50,80,11,13,1.11,1.12,N/A,N/A,11,N/A
31-03-2026,Começa em 9’,Copa Asiática Da Afc Classificatórias,Nepal,Laos,3.65,3.9,3.35,3.5,2.22,2.32,2.26,2.34,8,9.4
31-03-2026,Começa em 9’,Copa Asiática Da Afc Classificatórias,Singapura,Bangladesh,1.59,1.64,4.1,4.4,6.4,7.2,2.18,2.22,17,21
31-03-2026,Começa em 9’,Copa Asiática Da Afc Classificatórias,Vietnã,Malásia,1.67,1.69,4.4,4.7,5.1,5.4,1.85,1.9,16.5,19
31-03-2026,Começa em 39’,Copa Asiática Da Afc Classificatórias,Tailândia,Turcomenistão,1.36,1.4,5.5,6.2,8.4,11,1.66,1.74,26,36
31-03-2026,Começa em 39’,Copa Asiática Da Afc Classificatórias,Butão,Brunei,1.71,1.75,4,4.2,5.2,5.8,1.98,2.06,17,23
31-03-2026,10:30,Copa Asiática Da Afc Classificatórias,Índia,Hong Kong,2.52,2.66,3,3.2,3.25,3.55,2.46,2.64,8.2,12
31-03-2026,11:00,Copa Asiática Da Afc Classificatórias,Tajiquistão,Filipinas,1.87,1.9,3.55,3.75,4.9,5.5,2.18,2.34,13,15.5
31-03-2026,vivo,I League Da Índia,Gokulam FC,Aizawl FC,N/A,1.01,12,1000,110,N/A,N/A,N/A,60,N/A
31-03-2026,Começa em 9’,Internacional Fifa Series,Cazaquistão,Comores,1.64,1.67,3.95,4.2,6.8,7.4,2.44,2.48,15.5,17.5
31-03-2026,10:00,Israel National League,Hapoel Nof HaGalil,Bnei Yehuda,3.9,4.4,3.2,3.45,2.14,2.28,2.2,2.34,5.3,9.2
31-03-2026,10:00,Caf African Nations Champ Qualifiers,Etiópia,Sao Tome E Principe,1.38,1.42,4.9,5.6,9.2,15.5,1.87,1.96,15.5,1000
31-03-2026,10:00,Caf African Nations Champ Qualifiers,Burundi,Chade,1.47,1.5,4.4,4.8,8.6,11,2.08,2.2,20,75
31-03-2026,11:00,Caf African Nations Champ Qualifiers,Eswatini,Eritreia,1.74,1.82,3.7,3.95,5.3,5.8,2.24,2.36,13.5,18
