date,time,competition,home,away,home_back,home_lay,draw_back,draw_lay,away_back,away_lay,over25_back,over25_lay,score01_back,score01_lay
30-03-2026,18:30,Copa Do Nordeste,Jacuipense BA,America RN,4.6,5.3,3.15,3.5,1.99,2.14,2.42,2.64,6,7.2
30-03-2026,20:00,Copa Verde,Trem AP,Sampaio-RR,1.48,1.55,4.3,6.4,6,9.8,1.68,1.79,3.8,1000
30-03-2026,19:00,Brasileirão Série A Feminino,CA Mineiro (F),São Paulo (F),6.2,7.6,3.85,4.6,1.55,1.66,1.91,2.08,6.8,8.6
30-03-2026,15:30,Serie C Italiana,Casertana,Sorrento,1.8,1.87,3.7,3.95,5,5.7,2.02,2.14,15.5,1000
30-03-2026,15:30,Serie C Italiana,Arezzo,Ascoli,2.2,2.32,2.96,3.15,4.1,4.5,2.36,2.54,5.8,500
30-03-2026,22:00,Costa Rica Liga De Ascenso,Inter San Carlos,Municipal Grecia,1.59,1.86,3.05,5,4.4,7.2,1.53,1.9,1.03,29
30-03-2026,23:00,Costa Rica Liga De Ascenso,AD Aserri,AD Carmelita,1.88,2.08,3.15,3.9,3.8,4.9,1.97,2.2,3.85,18.5
30-03-2026,vivo,Internacional Fifa Series,Trindade E Tobago,Gabão,5.2,N/A,1.15,1.3,4.3,380,N/A,N/A,4.9,N/A
30-03-2026,10:00,Internacional Fifa Series,Indonésia,Bulgária,2.66,2.78,3.6,3.7,2.74,2.88,1.86,1.88,11.5,15
30-03-2026,11:00,Internacional Fifa Series,Usbequistão,Venezuela,2.18,2.26,3.35,3.5,3.8,4,2.2,2.26,11.5,13.5
30-03-2026,11:00,Internacional Fifa Series,Granada,Quênia,16,20,7.2,8,1.23,1.25,1.66,1.69,8.2,8.8
30-03-2026,12:00,Internacional Fifa Series,Azerbaijão,Serra Leoa,1.67,1.7,3.85,4.1,6.2,6.6,2.4,2.5,7.8,17.5
30-03-2026,14:30,Internacional Fifa Series,Ruanda,Estônia,1.93,1.95,3.5,3.55,4.9,5.2,2.58,2.78,11.5,14
30-03-2026,Ao vivo,Ucrânia Druha Liga,FC Chayka,FC Chernomorets 2 Odessa,1.02,1.11,1.02,N/A,9,N/A,1.77,2.34,1.04,N/A
30-03-2026,10:30,Israel National League,Hapoel Rishon Lezion,MS Kfar Kasem,1.87,1.99,3.5,4,4.5,5.2,2.12,2.26,13,23
30-03-2026,10:30,Israel National League,Maccabi Herzliya,Hapoel Eran Hadera,1.95,2.04,3.55,4,4.2,4.8,1.96,2.06,13.5,24
30-03-2026,10:30,Israel National League,Ironi Modiin,Hapoel Kfar Saba,3.95,4.5,3.45,3.75,2,2.14,2,2.14,5.4,13
30-03-2026,10:30,Israel National League,SC Kiryat Yam,Hapoel Akko,1.76,1.85,3.6,4.2,5,6,1.97,2.08,15.5,19
30-03-2026,12:00,Egito Copa Da Liga,Al-Masry,El Gounah,1.92,2,3.35,3.55,4.9,5.2,2.58,2.72,11.5,26
30-03-2026,15:00,Egito Copa Da Liga,Al Mokawloon,ZED FC,3.15,3.3,2.92,3.05,2.76,2.92,3.1,3.3,6.2,7.2
30-03-2026,13:00,Amistosos Internacionais,Chipre,Moldávia,1.69,1.71,4.1,4.3,5.7,6,2.04,2.06,15.5,19
30-03-2026,15:45,Amistosos Internacionais,Alemanha,Gana,1.18,1.19,9.6,9.8,19.5,21,1.38,1.39,50,940
30-03-2026,16:00,Amistosos Internacionais,Guiana,Belize,1.64,1.7,4.3,4.8,5.3,5.9,1.7,1.78,19,23
30-03-2026,20:30,Amistosos Internacionais,Dominica,Sint Maarten,3.55,3.75,3.8,4.1,2.1,2.18,1.55,1.6,12.5,18
30-03-2026,13:00,Alemanha Frauen Bundesliga,Hamburger SV (W),Leverkusen (F),6.2,7.6,4.6,5.6,1.51,1.58,1.6,1.67,9.8,12
